 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,IntDen,RawIntDen
36,pperpot_6K-2.tif:0036-0142,0.092286,24789.067273,9589,37449,5.4645,1.841464,5.464001,1.840224,1.150412,0.359866,0.326515,56.238199,2287.675721,13633987
37,pperpot_6K-2.tif:0037-0142,0.091279,24890.154412,14336,40233,9.761861,1.85244,9.761829,1.852252,1.125807,0.348553,0.333436,50.639067,2271.946383,13540244
38,pperpot_6K-2.tif:0038-0143,0.084567,24110.746032,12494,34643,9.23538,1.856097,9.235938,1.855674,1.089169,0.344352,0.312687,82.661927,2038.979092,12151816
39,pperpot_6K-2.tif:0039-0179,0.105038,26297.746006,15364,38417,3.825306,2.348177,3.825294,2.350917,1.330459,0.403807,0.331194,82.435699,2762.259317,16462389
40,pperpot_6K-2.tif:0040-0183,0.165443,24452.800203,9155,42684,2.782458,2.350041,2.784187,2.352934,1.585083,0.478281,0.440429,51.131129,4045.54561,24110461
41,pperpot_6K-2.tif:0041-0182,0.103192,25999.409756,14482,37873,4.368254,2.358867,4.368441,2.357036,1.235721,0.428053,0.306944,91.542588,2682.935252,15989637
42,pperpot_6K-2.tif:0042-0180,0.095977,25912.094406,14347,39682,4.904832,2.352978,4.90525,2.353714,1.209814,0.380096,0.321503,55.202357,2486.967635,14821718
43,pperpot_6K-2.tif:0043-0180,0.093796,24171.391771,11755,35026,5.43203,2.34044,5.430569,2.340523,1.183907,0.387537,0.308163,94.04304,2267.175046,13511808
44,pperpot_6K-2.tif:0044-0183,0.125005,25811.990604,12146,40030,10.845098,2.370579,10.843788,2.370814,1.334904,0.42854,0.371404,66.509074,3226.63142,19229933
45,pperpot_6K-2.tif:0045-0183,0.104534,24046.82504,11417,36225,5.981889,2.378145,5.983648,2.377065,1.249595,0.396711,0.335503,87.681,2513.722762,14981172
46,pperpot_6K-2.tif:0046-0182,0.100675,26016.676667,12523,40879,3.279643,2.361934,3.281081,2.362588,1.199083,0.364338,0.351826,137.242238,2619.236158,15610006
47,pperpot_6K-2.tif:0047-0183,0.09883,24301.543294,12966,36370,6.533283,2.366821,6.533837,2.36642,1.183907,0.383351,0.328247,105.176912,2401.710944,14313609
48,pperpot_6K-2.tif:0048-0183,0.102353,25637.395082,11162,40825,10.296005,2.370526,10.297325,2.370481,1.199083,0.408546,0.318985,115.128523,2624.06941,15638811
49,pperpot_6K-2.tif:0049-0185,0.099165,20808.729272,10240,33939,11.412623,2.3621,11.411135,2.365139,1.258485,0.395246,0.319449,87.949314,2063.500737,12297959
50,pperpot_6K-2.tif:0050-0182,0.084399,22839.065606,9678,33127,7.056816,2.368075,7.05646,2.36677,1.066405,0.35174,0.305512,61.690746,1927.604381,11488050
51,pperpot_6K-2.tif:0051-0181,0.084735,23963.358416,12288,37911,7.635988,2.355003,7.63657,2.354382,1.107488,0.356845,0.302338,163.777621,2030.535792,12101496
